user_id,application_id,user_type,sample_datetime,sample_month,sample_quarter,aus_new_worthiness_bid_3rdmodel_v1_0_20260429,duedate_1m_5,duedate_2m_5,duedate_1m_30,duedate_3m_30,duedate_4m_30,y_interest_income_1m,y_interest_income_2m,y_interest_income_3m,y_interest_income_4m,y_interest_income_5m,y_interest_income_6m,y_interest_income_7m,y_interest_income_8m,y_interest_income_9m,y_interest_income_10m,y_interest_income_11m,y_interest_income_12m
484279234.0,1081879.0,New,1/9/2024 13:28,2024-01,2024-Q1,0.204019732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484419556.0,1660997.0,New,1/21/2025 19:50,2025-01,2025-Q1,0.245886496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484433048.0,1682917.0,New,2/7/2025 13:30,2025-02,2025-Q1,0.139947116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484178287.0,1355542.0,New,6/5/2024 8:09,2024-06,2024-Q2,0.398751247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484296510.0,1129853.0,New,2/5/2024 14:46,2024-02,2024-Q1,0.141484819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484574495.0,2298334.0,New,2/26/2026 6:48,2026-02,2026-Q1,0.316345836,0.0,0.0,0.0,,,0.0,0.0,,,,,,,,,,
483951903.0,1836741.0,New,5/16/2025 10:28,2025-05,2025-Q2,0.401440489,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,
484324209.0,1213041.0,New,3/18/2024 17:13,2024-03,2024-Q1,0.457787264,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
484187135.0,2045575.0,New,9/19/2025 8:33,2025-09,2025-Q3,0.304648446,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,
484030020.0,1249127.0,New,4/4/2024 15:27,2024-04,2024-Q2,0.180929941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
484532754.0,2086647.0,New,10/14/2025 9:31,2025-10,2025-Q4,0.140231901,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,
484385886.0,1441943.0,New,8/16/2024 21:11,2024-08,2024-Q3,0.216587076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
484326834.0,2007421.0,New,8/27/2025 16:26,2025-08,2025-Q3,0.397373496,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,
