primary_model_score_bin,bank_txn_industry_primary_industry,sample_cnt,sample_pct,duedate_3m_30_valid_cnt,duedate_3m_30_bad_cnt,duedate_3m_30_good_cnt,duedate_3m_30_bad_rate,duedate_1m_5_valid_cnt,duedate_1m_5_bad_cnt,duedate_1m_5_good_cnt,duedate_1m_5_bad_rate,duedate_3m_30_amount_overdue_amount,duedate_3m_30_amount_principal_amount,duedate_3m_30_amount_overdue_rate,duedate_1m_5_amount_overdue_amount,duedate_1m_5_amount_principal_amount,duedate_1m_5_amount_overdue_rate,avg_PTI,avg_requested_loan_amount,avg_total_amount,avg_gross_surplus,avg_net_surplus,avg_total_income,avg_bank_txn_industry_primary_industry_amt,avg_bank_txn_industry_pay_interval_median,avg_bank_txn_industry_pay_interval_std,avg_bank_txn_industry_primary_employer_ratio,avg_bank_txn_industry_employer_cnt,apply_cnt,completed_application_cnt,approved_application_cnt,auto_approved_application_cnt,manual_approved_application_cnt,deal_sample_cnt,completion_rate,approval_rate,auto_approval_rate,manual_approval_rate,auto_approval_share,manual_approval_share,deal_rate
2,Social Services/Non-Profit Organizations,102,0.001564945226917058,53,8,45,0.1509433962264151,96,2,94,0.020833333333333332,8622.58,106775.0,0.08075467103722782,8548.9,106775.0,0.08006462186841488,0.04992249074146118,2296.5686274509803,1267.4019607843138,1476.0178758169939,1144.9140359477124,6946.747761437908,29746.47147058824,10.196078431372548,2.428234501058823,0.878690992254902,1.7450980392156863,102,102,102,25,77,102,1.0,1.0,0.24509803921568626,0.7549019607843137,0.24509803921568626,0.7549019607843137,1.0
2,Sports/Entertainment/Gambling,59,0.0009052134155696708,35,0,35,0.0,55,1,54,0.01818181818181818,0.0,63750.0,0.0,361.11,63750.0,0.005664470588235294,0.0535678872866404,2308.898305084746,1297.457627118644,1314.0282485875705,995.1771751412427,6435.64559322034,31200.26677966102,11.5,1.4186537361016949,0.9558905261186441,1.3220338983050848,59,59,59,18,41,59,1.0,1.0,0.3050847457627119,0.6949152542372882,0.3050847457627119,0.6949152542372882,1.0
2,Technical Services/Information Media,226,0.003467427659639756,106,9,97,0.08490566037735849,207,9,198,0.043478260869565216,9347.6,233775.0,0.03998545610095177,9707.65,233775.0,0.04152561223398567,0.050584509963561265,2334.8451327433627,1249.225663716814,1738.4380383480825,1408.045435103245,6895.049675516224,32872.61725663717,11.234513274336283,2.183917475248889,0.9298328605486725,1.407079646017699,226,226,226,83,143,226,1.0,1.0,0.3672566371681416,0.6327433628318584,0.3672566371681416,0.6327433628318584,1.0
2,"Transport, Postal and Warehousing",129,0.0019791954340421616,62,6,56,0.0967741935483871,121,3,118,0.024793388429752067,5670.05,139950.0,0.04051482672382994,11232.44,139950.0,0.08026037870668096,0.050298935681181316,2572.4806201550387,1282.9457364341085,2189.0446382428936,1844.9628552971574,7616.954289405684,37497.427519379846,9.24031007751938,2.023600522945736,0.8915759390232557,1.5348837209302326,129,129,129,38,91,129,1.0,1.0,0.29457364341085274,0.7054263565891473,0.29457364341085274,0.7054263565891473,1.0
2,Unknown,1714,0.02629721685231213,923,76,847,0.08234019501625135,1597,73,1524,0.045710707576706325,78876.76999999999,1817305.0,0.04340315467134025,111580.12,1817305.0,0.06139867551126531,0.04950775172080082,2310.1971995332556,1244.0373395565928,1858.0107535978216,1529.8864303772848,7104.733163166083,33637.25600350058,10.649941656942824,2.1879636954696613,0.9146933419253209,1.4924154025670946,1714,1714,1714,572,1142,1714,1.0,1.0,0.3337222870478413,0.6662777129521587,0.3337222870478413,0.6662777129521587,1.0
2,,8605,0.1320230752707969,8594,740,7854,0.08610658599022573,8603,467,8136,0.054283389515285364,729508.7200000001,9583889.0,0.07611823550961411,836980.79,9583889.0,0.08733206217225596,0.06470947293329977,2193.666472980825,1115.074259151656,2154.1245043579315,1720.3941410032926,7124.234183807864,,,,,,8605,8605,8605,4530,4075,8605,1.0,1.0,0.52643811737362,0.47356188262638,0.52643811737362,0.47356188262638,1.0
3,Accommodation and Food Services,102,0.001564945226917058,48,3,45,0.0625,90,5,85,0.05555555555555555,2606.2799999999997,93175.0,0.0279718808693319,2581.29,93175.0,0.027703675878722835,0.051694582708009335,2065.4901960784314,1135.049019607843,1140.1488562091502,872.8482516339869,5387.972565359477,24978.01911764706,9.284313725490197,2.1297994228137256,0.8874658568529411,1.6470588235294117,102,102,102,33,69,102,1.0,1.0,0.3235294117647059,0.6764705882352942,0.3235294117647059,0.6764705882352942,1.0
3,Bank-issued Payroll Distribution,277,0.0042499002730982845,148,16,132,0.10810810810810811,254,9,245,0.03543307086614173,12845.45,257075.0,0.04996771370222698,19560.38,257075.0,0.07608822328114363,0.04850827040225978,2115.3429602888086,1067.6895306859205,1759.4990012033693,1479.7553489771358,6155.359518652225,25744.70588447653,8.667870036101084,2.945194127068592,0.8907798543790615,1.5848375451263539,277,277,277,105,172,277,1.0,1.0,0.37906137184115524,0.6209386281588448,0.37906137184115524,0.6209386281588448,1.0
3,Cleaning/Security/Property Management,125,0.0019178250329865906,54,4,50,0.07407407407407407,112,7,105,0.0625,5136.35,103400.0,0.04967456479690523,6013.99,103400.0,0.05816237911025145,0.04835644947286848,2219.8,1065.4,1362.3051866666667,1082.3709866666666,6132.718279999999,27519.16824,10.9,2.766390094176,0.927956745392,1.448,125,125,125,37,88,125,1.0,1.0,0.296,0.704,0.296,0.704,1.0
3,Construction,263,0.004035103869403787,142,21,121,0.14788732394366197,242,21,221,0.08677685950413223,21431.58,236225.0,0.09072528309874062,26838.260000000002,236225.0,0.11361312308180761,0.04572646998722791,2067.490494296578,1052.851711026616,1988.164391634981,1700.8766666666666,6682.8611470215465,29641.34178707224,8.891634980988593,2.3236514368935355,0.9201754329239545,1.494296577946768,263,263,263,91,172,263,1.0,1.0,0.34600760456273766,0.6539923954372624,0.34600760456273766,0.6539923954372624,1.0
3,Education and Training,155,0.002378103040903372,81,8,73,0.09876543209876543,140,11,129,0.07857142857142857,5970.299999999999,131150.0,0.045522683949675936,8615.09,131150.0,0.06568882958444529,0.04387770770540819,2050.967741935484,1020.0,1478.8460322580643,1214.2743655913978,6327.58617204301,26117.044838709677,11.335483870967742,2.6830817192774195,0.9144708022709676,1.4903225806451612,155,155,155,55,100,155,1.0,1.0,0.3548387096774194,0.6451612903225806,0.3548387096774194,0.6451612903225806,1.0
3,Financial and Insurance Services,85,0.0013041210224308817,46,4,42,0.08695652173913043,78,2,76,0.02564102564102564,2010.4,72200.0,0.02784487534626039,4503.360000000001,72200.0,0.062373407202216076,0.04818292019778454,2118.529411764706,1041.764705882353,1338.4129607843138,1070.6121960784315,5859.234333333333,27528.870117647064,10.41764705882353,2.0075726599882353,0.9265105713058824,1.411764705882353,85,85,85,26,59,85,1.0,1.0,0.3058823529411765,0.6941176470588235,0.3058823529411765,0.6941176470588235,1.0
3,Government/Public Administration,337,0.005170456288931848,184,22,162,0.11956521739130435,308,29,279,0.09415584415584416,19636.149999999998,309625.0,0.0634191360516754,23995.97,309625.0,0.0775001049656843,0.0441724178047774,2035.979228486647,1076.7507418397627,1542.663452027695,1269.4138031651828,6600.981068249259,28592.380207715138,11.823442136498516,2.3842402689465874,0.9332649611543027,1.4124629080118694,337,337,337,101,236,337,1.0,1.0,0.2997032640949555,0.7002967359050445,0.2997032640949555,0.7002967359050445,1.0
