primary_model_score_bin,comparison_model_score_bin,sample_cnt,sample_pct,duedate_3m_30_valid_cnt,duedate_3m_30_bad_cnt,duedate_3m_30_good_cnt,duedate_3m_30_bad_rate,duedate_1m_5_valid_cnt,duedate_1m_5_bad_cnt,duedate_1m_5_good_cnt,duedate_1m_5_bad_rate,duedate_3m_30_amount_overdue_amount,duedate_3m_30_amount_principal_amount,duedate_3m_30_amount_overdue_rate,duedate_1m_5_amount_overdue_amount,duedate_1m_5_amount_principal_amount,duedate_1m_5_amount_overdue_rate,avg_PTI,avg_requested_loan_amount,avg_total_amount,avg_gross_surplus,avg_net_surplus,avg_total_income,avg_bank_txn_industry_primary_industry_amt,avg_bank_txn_industry_pay_interval_median,avg_bank_txn_industry_pay_interval_std,avg_bank_txn_industry_primary_employer_ratio,avg_bank_txn_industry_employer_cnt,apply_cnt,completed_application_cnt,approved_application_cnt,auto_approved_application_cnt,manual_approved_application_cnt,deal_sample_cnt,completion_rate,approval_rate,auto_approval_rate,manual_approval_rate,auto_approval_share,manual_approval_share,deal_rate
2,5,1131,0.017352480898462672,1064,211,853,0.19830827067669174,1131,141,990,0.1246684350132626,220648.46,1365185.0,0.1616253181803199,245425.73,1365185.0,0.17977470452722524,0.0570457662905911,2453.018567639257,1207.0601237842618,3390.8523180076627,2951.317318007663,8542.260574712644,38641.74295857988,9.646449704142011,2.6005643540266274,0.8853855879881656,1.6390532544378698,1131,1131,1131,489,642,1131,1.0,1.0,0.4323607427055703,0.5676392572944297,0.4323607427055703,0.5676392572944297,1.0
2,,43,0.0006597318113473872,1,0,1,0.0,32,0,32,0.0,0.0,45075.0,0.0,0.0,45075.0,0.0,0.05063641116650946,2452.906976744186,1402.906976744186,1866.966279069767,1539.2473643410851,7247.2828294573665,34717.09604651162,10.476744186046512,2.13972940716279,0.9410899209069767,1.3488372093023255,43,43,43,9,34,43,1.0,1.0,0.20930232558139536,0.7906976744186046,0.20930232558139536,0.7906976744186046,1.0
3,1,2095,0.03214274755285526,1668,72,1596,0.04316546762589928,2021,54,1967,0.026719445818901535,47021.64,2001816.0,0.023489491541680153,83726.16,2001816.0,0.04182510280665156,0.058900925244472685,1936.3603818615752,1062.489737470167,1393.888244232299,1047.874504375497,6198.977470962609,26087.75208955224,11.605978260869565,2.376310980654422,0.9394897663622794,1.3907734056987788,2095,2095,2095,906,1189,2095,1.0,1.0,0.4324582338902148,0.5675417661097852,0.4324582338902148,0.5675417661097852,1.0
3,2,3095,0.047485347816747986,2522,187,2335,0.07414750198255353,2993,131,2862,0.04376879385232209,174208.66,2924607.0,0.059566519535787205,213246.96,2924607.0,0.07291474033947125,0.0600234560747379,1954.1114701130857,1026.2300484652665,1539.4683376413566,1191.547097469036,6092.2240926225095,27344.387524401063,10.819271758436946,2.309815453350222,0.9231775330638863,1.4818101153504881,3095,3095,3095,1345,1750,3095,1.0,1.0,0.4345718901453958,0.5654281098546042,0.4345718901453958,0.5654281098546042,1.0
3,3,3340,0.0512442848814017,2748,284,2464,0.10334788937409024,3238,226,3012,0.06979617047560223,242622.2,3080626.0,0.07875743436561271,285009.52,3080626.0,0.0925167547115424,0.05865482409354852,2004.2694610778442,984.5182634730539,1725.4516162674652,1381.4946192614768,6178.576375249501,27724.156404109588,10.38998287671233,2.585043792944254,0.9138371586849315,1.4837328767123288,3340,3340,3340,1541,1799,3340,1.0,1.0,0.461377245508982,0.5386227544910179,0.461377245508982,0.5386227544910179,1.0
3,4,3010,0.046181226794317104,2612,373,2239,0.14280245022970903,2947,238,2709,0.08076009501187649,317657.49,2837817.0,0.11193727079653128,366184.6,2837817.0,0.12903742559862033,0.05807568993399404,2126.1830564784054,972.7215946843854,2071.101823920266,1719.6480116279065,6482.869469545957,28323.88381687243,10.216786817713697,2.5574251923154643,0.9067743105967078,1.52880658436214,3010,3010,3010,1358,1652,3010,1.0,1.0,0.4511627906976744,0.5488372093023256,0.4511627906976744,0.5488372093023256,1.0
3,5,1856,0.028475866089784897,1742,354,1388,0.20321469575200918,1856,207,1649,0.11153017241379311,284779.12,1909217.0,0.14916016356443504,318338.4,1909217.0,0.16673767308797272,0.05767086515296704,2112.6945043103447,1028.672952586207,2491.0595330459764,2113.9547135416665,6958.45356860632,30875.50763106796,9.523300970873786,2.518472290658252,0.8861557705048543,1.5941747572815534,1856,1856,1856,839,1017,1856,1.0,1.0,0.4520474137931034,0.5479525862068966,0.4520474137931034,0.5479525862068966,1.0
3,,48,0.0007364448126668507,0,0,0,,36,4,32,0.1111111111111111,0.0,46500.0,0.0,0.0,46500.0,0.0,0.05480021928127138,2674.4791666666665,1489.0625,1882.586423611111,1546.8469791666666,6511.333923611111,28591.208723404256,9.72340425531915,2.206878114,0.8842657625531914,2.0425531914893615,48,48,48,9,39,48,1.0,1.0,0.1875,0.8125,0.1875,0.8125,1.0
4,1,980,0.01503574825861487,731,35,696,0.047879616963064295,934,33,901,0.035331905781584586,33250.369999999995,811632.0,0.04096729798726516,41277.72,811632.0,0.05085767934236206,0.05781498573089325,1803.0867346938776,958.4255102040817,1280.2404421768708,977.6159404761904,5569.256156462585,20641.425748663103,11.486522911051212,2.1425460275486485,0.9374336733903743,1.3716577540106951,980,980,980,367,613,980,1.0,1.0,0.37448979591836734,0.6255102040816326,0.37448979591836734,0.6255102040816326,1.0
4,2,2239,0.034352081990855814,1761,140,1621,0.07950028392958547,2158,118,2040,0.05468025949953661,102666.36,1808810.0,0.056759062588110414,127674.4,1808810.0,0.07058474908918018,0.05738861397212381,1796.025011165699,887.5882090218847,1386.1650818817925,1083.4014589846656,5566.361695697484,22212.225377245508,11.013805522208884,2.468988633277979,0.9303694231904192,1.4,2239,2239,2239,932,1307,2239,1.0,1.0,0.4162572577043323,0.5837427422956677,0.4162572577043323,0.5837427422956677,1.0
