primary_model_score_bin,state,sample_cnt,sample_pct,duedate_3m_30_valid_cnt,duedate_3m_30_bad_cnt,duedate_3m_30_good_cnt,duedate_3m_30_bad_rate,duedate_1m_5_valid_cnt,duedate_1m_5_bad_cnt,duedate_1m_5_good_cnt,duedate_1m_5_bad_rate,duedate_3m_30_amount_overdue_amount,duedate_3m_30_amount_principal_amount,duedate_3m_30_amount_overdue_rate,duedate_1m_5_amount_overdue_amount,duedate_1m_5_amount_principal_amount,duedate_1m_5_amount_overdue_rate,avg_PTI,avg_requested_loan_amount,avg_total_amount,avg_gross_surplus,avg_net_surplus,avg_total_income,avg_bank_txn_industry_primary_industry_amt,avg_bank_txn_industry_pay_interval_median,avg_bank_txn_industry_pay_interval_std,avg_bank_txn_industry_primary_employer_ratio,avg_bank_txn_industry_employer_cnt,apply_cnt,completed_application_cnt,approved_application_cnt,auto_approved_application_cnt,manual_approved_application_cnt,deal_sample_cnt,completion_rate,approval_rate,auto_approval_rate,manual_approval_rate,auto_approval_share,manual_approval_share,deal_rate
2,NT,232,0.003559483261223112,195,11,184,0.05641025641025641,224,13,211,0.05803571428571429,13957.16,264115.0,0.05284501069609829,22438.6,264115.0,0.08495768888552335,0.059058776730109674,2170.689655172414,1200.1724137931035,2192.4591522988503,1792.5062140804598,7157.612844827585,32946.84740740741,10.234567901234568,2.513547199172839,0.9135570048518519,1.5555555555555556,232,232,232,125,107,232,1.0,1.0,0.5387931034482759,0.46120689655172414,0.5387931034482759,0.46120689655172414,1.0
2,NT(LVR&PO),1,1.5342600263892726e-05,1,0,1,0.0,1,0,1,0.0,0.0,1300.0,0.0,0.0,1300.0,0.0,0.0989053283567394,5000.0,1300.0,1830.3133333333333,1351.48,4841.33,,,,,,1,1,1,1,0,1,1.0,1.0,1.0,0.0,1.0,0.0,1.0
2,QLD,3417,0.05242566510172144,2855,219,2636,0.076707530647986,3326,169,3157,0.050811785929043896,211332.7,3707751.0,0.056997543794068156,277585.04999999993,3707751.0,0.07486615201506248,0.05855652411846128,2146.924787825578,1147.4644424934152,1967.425903326505,1575.4958262608525,7122.448731343283,32913.22843648208,10.392508143322475,2.0368295335985347,0.9131639079381109,1.5309446254071661,3417,3417,3417,1522,1895,3417,1.0,1.0,0.4454199590283875,0.5545800409716125,0.4454199590283875,0.5545800409716125,1.0
2,SA,699,0.010724477584461014,597,45,552,0.07537688442211055,685,29,656,0.042335766423357665,42040.75,752880.0,0.05583990808628201,54173.87,752880.0,0.07195551747954522,0.060704794195729245,2085.9084406294705,1131.659513590844,1934.8003218884116,1547.758054363376,6750.217329518359,29864.96508,10.818,1.9260957986465863,0.912842635184,1.484,699,699,699,341,358,699,1.0,1.0,0.48783977110157367,0.5121602288984263,0.48783977110157367,0.5121602288984263,1.0
2,TAS,248,0.0038049648654453956,210,12,198,0.05714285714285714,241,14,227,0.058091286307053944,9329.63,273850.0,0.0340683951068103,15887.759999999998,273850.0,0.05801628628811392,0.06192195087195661,2186.8951612903224,1164.717741935484,1855.316317204301,1459.6144892473117,6741.8961021505365,30699.273749999997,11.914772727272727,2.1012685620113634,0.9173895793863636,1.4090909090909092,248,248,248,115,133,248,1.0,1.0,0.4637096774193548,0.5362903225806451,0.4637096774193548,0.5362903225806451,1.0
2,VIC,2696,0.04136365031145479,2251,210,2041,0.09329187027987561,2631,118,2513,0.04484986697073356,217771.23,2896661.0,0.07518008838452274,241385.78,2896661.0,0.08333242308989557,0.060922047323433856,2302.307492581602,1143.791172106825,1986.570102621167,1594.7023652324428,6811.161614119683,32325.111633771932,10.489035087719298,2.2335317341304823,0.9135478826447369,1.5142543859649122,2696,2696,2696,1226,1470,2696,1.0,1.0,0.4547477744807122,0.5452522255192879,0.4547477744807122,0.5452522255192879,1.0
2,WA,1629,0.024993095829881247,1363,120,1243,0.0880410858400587,1602,84,1518,0.052434456928838954,122788.42,1886356.0,0.06509291989422994,141368.99,1886356.0,0.07494290049174175,0.05811602818458906,2241.534069981584,1205.1141804788213,2353.35517904645,1935.4243984039285,7687.543748721097,35272.84920604915,11.684310018903592,2.5753792810945177,0.9088489645803403,1.5047258979206048,1629,1629,1629,757,872,1629,1.0,1.0,0.46470227133210557,0.5352977286678944,0.46470227133210557,0.5352977286678944,1.0
3,ACT,157,0.002408788241431158,136,14,122,0.10294117647058823,154,11,143,0.07142857142857142,16106.779999999999,149150.0,0.1079904793831713,17810.15,149150.0,0.11941099564197118,0.057430861901668566,1952.7070063694268,995.859872611465,1698.513205944798,1353.4498726114646,6282.295679405519,27446.917346938775,12.438775510204081,3.6054642063061224,0.9510861583877551,1.4489795918367347,157,157,157,54,103,157,1.0,1.0,0.34394904458598724,0.6560509554140127,0.34394904458598724,0.6560509554140127,1.0
3,NSW,4127,0.06331891128908528,3448,410,3038,0.11890951276102088,4017,282,3735,0.070201643017177,380459.06000000006,4011823.0,0.09483445805061691,437867.31999999995,4011823.0,0.10914422695118901,0.059129506218579056,2056.5192633874485,1037.0457959777077,1846.7161497455777,1490.62478757774,6407.543466602051,27227.035341308936,10.41161971830986,2.4219527688624822,0.9142979659437016,1.4729064039408868,4127,4127,4127,1811,2316,4127,1.0,1.0,0.43881754300945,0.56118245699055,0.43881754300945,0.56118245699055,1.0
3,NT,248,0.0038049648654453956,214,18,196,0.08411214953271028,242,13,229,0.05371900826446281,14651.75,244375.0,0.059956010230179026,24201.43,244375.0,0.09903398465473146,0.06051759459895592,2010.0806451612902,1038.1048387096773,1960.3681115591396,1595.4871169354835,6394.412654569893,28401.932631578948,10.789473684210526,3.4355888625,0.9047369877105264,1.7236842105263157,248,248,248,116,132,248,1.0,1.0,0.46774193548387094,0.532258064516129,0.46774193548387094,0.532258064516129,1.0
