primary_model_score_bin,attributed_category,sample_cnt,sample_pct,duedate_3m_30_valid_cnt,duedate_3m_30_bad_cnt,duedate_3m_30_good_cnt,duedate_3m_30_bad_rate,duedate_1m_5_valid_cnt,duedate_1m_5_bad_cnt,duedate_1m_5_good_cnt,duedate_1m_5_bad_rate,duedate_3m_30_amount_overdue_amount,duedate_3m_30_amount_principal_amount,duedate_3m_30_amount_overdue_rate,duedate_1m_5_amount_overdue_amount,duedate_1m_5_amount_principal_amount,duedate_1m_5_amount_overdue_rate,avg_PTI,avg_requested_loan_amount,avg_total_amount,avg_gross_surplus,avg_net_surplus,avg_total_income,avg_bank_txn_industry_primary_industry_amt,avg_bank_txn_industry_pay_interval_median,avg_bank_txn_industry_pay_interval_std,avg_bank_txn_industry_primary_employer_ratio,avg_bank_txn_industry_employer_cnt,apply_cnt,completed_application_cnt,approved_application_cnt,auto_approved_application_cnt,manual_approved_application_cnt,deal_sample_cnt,completion_rate,approval_rate,auto_approval_rate,manual_approval_rate,auto_approval_share,manual_approval_share,deal_rate
2,Bing,103,0.0015802878271809506,88,10,78,0.11363636363636363,97,5,92,0.05154639175257732,12198.439999999999,121075.0,0.10075110468717736,6173.44,121075.0,0.05098856080941565,0.06701588831663122,2591.5048543689322,1292.4757281553398,1762.1157119741101,1315.6140938511326,6879.1102912621345,34942.12107142857,10.607142857142858,2.045657043214286,0.9288616257142858,1.4642857142857142,103,103,103,40,63,103,1.0,1.0,0.3883495145631068,0.6116504854368932,0.3883495145631068,0.6116504854368932,1.0
2,GEO,23,0.0003528798060695327,16,0,16,0.0,23,1,22,0.043478260869565216,0.0,37650.0,0.0,0.0,37650.0,0.0,0.06511273241953283,3207.608695652174,1636.9565217391305,1813.6648550724638,1453.4838405797102,5968.303768115942,28426.72210526316,9.289473684210526,2.1818809646842103,0.9387210550526316,1.5789473684210527,23,23,23,6,17,23,1.0,1.0,0.2608695652173913,0.7391304347826086,0.2608695652173913,0.7391304347826086,1.0
2,Google,5250,0.0805486513854368,4122,330,3792,0.08005822416302766,5107,227,4880,0.044448795770511064,336645.01,5748840.0,0.058558771856583244,414508.77,5748840.0,0.07210302774124867,0.05765500476680833,2178.0666666666666,1167.2885714285715,2043.6722965079362,1661.4085304761904,7084.95383142857,32846.00096006796,10.603865760407816,2.1319565708180273,0.9115664235531009,1.5237892948173322,5250,5250,5250,2341,2909,5250,1.0,1.0,0.4459047619047619,0.5540952380952381,0.4459047619047619,0.5540952380952381,1.0
2,Lead Partner,2513,0.038555954463162415,2191,216,1975,0.0985851209493382,2475,148,2327,0.0597979797979798,210087.65000000002,2828257.0,0.07428166888652624,237080.84,2828257.0,0.08382577679468309,0.05750965744449172,2143.6020692399525,1165.267409470752,1999.0083877172037,1601.7451830481496,7284.1455584295,35012.23529344073,10.532796317606444,2.150598337390104,0.9120859150207135,1.4948216340621403,2513,2513,2513,1119,1394,2513,1.0,1.0,0.44528452049343414,0.5547154795065659,0.44528452049343414,0.5547154795065659,1.0
2,Meta,79,0.0012120654208475252,68,10,58,0.14705882352941177,74,5,69,0.06756756756756757,9806.119999999999,94375.0,0.1039059072847682,10402.329999999998,94375.0,0.11022336423841057,0.06611142272341675,2756.9620253164558,1387.3417721518988,2246.839915611814,1787.9314135021093,7493.746877637133,34454.14,11.636363636363637,2.118301919181818,0.9870430566363637,1.2727272727272727,79,79,79,35,44,79,1.0,1.0,0.4430379746835443,0.5569620253164557,0.4430379746835443,0.5569620253164557,1.0
2,Organic,3934,0.06035778943815398,3565,299,3266,0.08387096774193549,3900,218,3682,0.0558974358974359,288223.79,4215380.0,0.06837433161423169,347855.12,4215380.0,0.08252046553335642,0.06290041516638216,2182.7719877986783,1104.106507371632,2175.528432469073,1760.2028584138282,7070.2829965260125,32099.46464330413,10.568210262828536,2.2869976299036296,0.9050750947534418,1.5381727158948686,3934,3934,3934,1947,1987,3934,1.0,1.0,0.4949161159125572,0.5050838840874428,0.4949161159125572,0.5050838840874428,1.0
2,Owned Channels,1320,0.020252232348338395,990,84,906,0.08484848484848485,1247,53,1194,0.042502004811547714,89155.87999999999,1507262.0,0.059150884186027375,124250.79,1507262.0,0.08243476582040812,0.05995150326114597,2664.9810606060605,1301.9219696969697,1920.9447209595958,1515.6452474747473,7142.699482323233,32184.758214936242,10.456284153005464,2.134179772713504,0.9222903236029145,1.4280510018214936,1320,1320,1320,522,798,1320,1.0,1.0,0.39545454545454545,0.6045454545454545,0.39545454545454545,0.6045454545454545,1.0
2,Tiktok,12,0.0001841112031667127,12,2,10,0.16666666666666666,12,1,11,0.08333333333333333,2747.22,14050.0,0.19553167259786475,4313.52,14050.0,0.3070120996441281,0.0751508384735106,3962.5,1170.8333333333333,1902.9381944444442,1419.1305555555555,6807.894166666666,,,,,,12,12,12,6,6,12,1.0,1.0,0.5,0.5,0.5,0.5,1.0
3,Apple Search Ads,24,0.0003682224063334254,0,0,0,,2,0,2,0.0,0.0,0.0,,0.0,0.0,,0.039761571758315316,1667.7083333333333,852.0833333333334,1559.0782638888888,1340.1609722222222,5750.503958333334,25066.796521739132,10.543478260869565,5.425892846304348,0.9030626888695652,1.6521739130434783,24,24,24,6,18,24,1.0,1.0,0.25,0.75,0.25,0.75,1.0
3,Bing,92,0.0014115192242781308,84,15,69,0.17857142857142858,90,7,83,0.07777777777777778,16783.6,97950.0,0.17134864726901478,13526.41,97950.0,0.13809504849412965,0.06376463338896601,2063.586956521739,1075.5434782608695,1918.637264492754,1527.0612499999997,6452.298949275363,28162.63608695652,9.73913043478261,1.955624881565217,0.8981985095217391,1.608695652173913,92,92,92,47,45,92,1.0,1.0,0.5108695652173914,0.4891304347826087,0.5108695652173914,0.4891304347826087,1.0
